iter	Passed	Remaining
0	46	46169
1	46	23188
2	46	15519
3	46	11693
4	47	9393
5	47	7852
6	47	6753
7	47	5930
8	48	5289
9	48	4778
10	48	4362
11	48	4014
12	48	3719
13	49	3465
14	49	3243
15	49	3049
16	49	2879
17	49	2727
18	50	2592
19	50	2469
20	50	2359
21	50	2259
22	51	2167
23	51	2083
24	51	2005
25	51	1934
26	51	1867
27	52	1806
28	52	1748
29	52	1695
30	52	1644
31	53	1613
32	53	1568
33	53	1527
34	53	1487
35	54	1449
36	54	1414
37	54	1381
38	54	1350
39	55	1321
40	55	1292
41	55	1265
42	55	1239
43	55	1214
44	56	1190
45	56	1168
46	56	1146
47	56	1125
48	56	1104
49	57	1085
50	57	1074
51	57	1056
52	58	1039
53	58	1022
54	58	1006
55	58	990
56	58	974
57	59	960
58	59	946
59	59	932
60	59	919
61	59	906
62	60	894
63	60	882
64	60	871
65	60	860
66	60	849
67	61	838
68	61	828
69	61	818
70	61	808
71	62	799
72	62	790
73	62	781
74	62	772
75	62	764
76	63	755
77	63	747
78	63	739
79	63	731
80	63	724
81	64	717
82	64	709
83	64	701
84	64	694
85	64	690
86	65	683
87	65	676
88	65	670
89	65	664
90	65	658
91	66	652
92	66	646
93	66	640
94	66	636
95	67	631
96	67	626
97	67	621
98	67	616
99	67	611
100	68	606
101	68	601
102	68	596
103	68	591
104	68	587
105	69	582
106	69	578
107	69	573
108	69	569
109	69	565
110	70	562
111	70	558
112	70	555
113	71	551
114	71	548
115	71	544
116	72	545
117	72	542
118	72	538
119	72	534
120	73	531
121	73	527
122	73	524
123	73	521
124	73	517
125	74	515
126	74	511
127	74	508
128	74	505
129	75	502
130	75	499
131	75	496
132	75	493
133	75	489
134	76	487
135	76	484
136	76	481
137	76	478
138	76	475
139	76	472
140	77	470
141	77	466
142	77	464
143	77	462
144	77	459
145	78	456
146	78	454
147	78	451
148	78	450
149	79	448
150	79	446
151	79	444
152	79	441
153	80	439
154	80	437
155	80	435
156	80	433
157	81	432
158	81	430
159	81	429
160	82	427
161	83	432
162	84	431
163	84	430
164	84	428
165	84	426
166	85	424
167	85	422
168	85	420
169	85	419
170	86	417
171	86	416
172	86	414
173	87	413
174	87	412
175	87	410
176	88	409
177	88	407
178	88	405
179	88	404
180	89	403
181	89	402
182	89	400
183	90	399
184	90	398
185	90	397
186	91	396
187	91	394
188	91	393
189	91	391
190	92	390
191	92	389
192	92	387
193	93	386
194	93	385
195	93	384
196	93	383
197	94	381
198	94	379
199	94	378
200	95	378
201	95	376
202	95	375
203	95	373
204	96	372
205	96	370
206	96	369
207	96	368
208	96	367
209	97	365
210	97	364
211	97	363
212	97	362
213	98	360
214	98	360
215	98	358
216	99	357
217	99	356
218	99	355
219	99	354
220	100	352
221	100	351
222	100	350
223	100	349
224	101	348
225	101	346
226	101	345
227	101	344
228	102	343
229	102	342
230	102	341
231	102	340
232	102	338
233	103	337
234	103	336
235	103	335
236	103	334
237	104	333
238	104	332
239	104	331
240	104	329
241	105	328
242	105	327
243	105	326
244	105	325
245	105	324
246	106	324
247	106	323
248	106	321
249	106	320
250	107	319
251	107	318
252	107	317
253	107	316
254	108	315
255	108	314
256	108	313
257	108	312
258	108	311
259	109	310
260	109	309
261	109	308
262	109	307
263	109	306
264	110	305
265	110	304
266	110	303
267	110	302
268	110	301
269	111	300
270	111	299
271	111	298
272	111	297
273	111	296
274	112	295
275	112	294
276	112	293
277	112	292
278	112	291
279	113	290
280	113	289
281	113	289
282	113	288
283	113	287
284	114	286
285	114	285
286	114	284
287	114	283
288	114	282
289	115	281
290	115	282
291	116	281
292	116	281
293	116	280
294	116	279
295	117	278
296	117	277
297	117	276
298	117	275
299	117	274
300	118	274
301	118	273
302	118	272
303	118	271
304	118	270
305	119	269
306	119	269
307	119	268
308	119	267
309	119	266
310	120	265
311	120	265
312	120	264
313	120	263
314	120	262
315	120	261
316	121	261
317	121	260
318	121	259
319	121	258
320	122	258
321	122	257
322	122	256
323	122	256
324	122	255
325	123	254
326	123	254
327	123	253
328	124	253
329	124	252
330	124	251
331	124	250
332	124	250
333	125	249
334	125	248
335	125	248
336	125	247
337	126	246
338	126	246
339	126	245
340	126	244
341	126	244
342	127	243
343	127	242
344	127	242
345	127	241
346	127	240
347	128	240
348	128	239
349	128	238
350	128	238
351	128	237
352	129	236
353	129	236
354	129	235
355	129	234
356	129	234
357	130	233
358	130	232
359	130	232
360	130	231
361	130	230
362	131	230
363	131	229
364	131	229
365	131	228
366	132	228
367	132	227
368	132	226
369	132	226
370	133	225
371	133	225
372	133	224
373	133	223
374	134	223
375	134	222
376	134	222
377	134	221
378	134	220
379	135	220
380	135	219
381	135	219
382	135	218
383	135	217
384	136	217
385	136	216
386	136	216
387	136	215
388	136	214
389	137	214
390	137	213
391	137	213
392	137	212
393	137	212
394	138	211
395	138	210
396	138	210
397	138	209
398	138	209
399	139	208
400	139	208
401	139	207
402	139	206
403	139	206
404	140	205
405	140	205
406	140	204
407	140	204
408	140	203
409	141	202
410	141	202
411	141	201
412	141	201
413	141	200
414	142	200
415	142	199
416	142	199
417	142	198
418	142	198
419	143	197
420	143	196
421	143	196
422	143	195
423	143	195
424	144	194
425	144	194
426	144	193
427	144	193
428	144	192
429	144	192
430	145	191
431	145	191
432	145	190
433	145	190
434	145	189
435	146	189
436	146	188
437	146	187
438	146	187
439	147	187
440	147	186
441	147	186
442	147	185
443	147	185
444	148	184
445	148	184
446	148	183
447	148	183
448	148	182
449	149	182
450	149	181
451	149	181
452	149	180
453	149	180
454	150	179
455	150	179
456	150	178
457	150	178
458	150	177
459	151	177
460	151	176
461	151	176
462	151	175
463	151	175
464	152	174
465	152	174
466	152	173
467	152	173
468	152	173
469	153	172
470	153	172
471	153	171
472	153	171
473	153	170
474	154	170
475	154	169
476	154	169
477	154	168
478	154	168
479	155	167
480	155	167
481	155	167
482	155	166
483	155	166
484	155	165
485	156	165
486	156	164
487	156	164
488	156	163
489	156	163
490	157	162
491	157	162
492	157	161
493	158	161
494	158	161
495	158	160
496	158	160
497	158	160
498	159	159
499	159	159
500	159	158
501	159	158
502	159	157
503	160	157
504	160	157
505	160	156
506	160	156
507	160	155
508	160	155
509	161	154
510	161	154
511	161	154
512	161	153
513	162	153
514	162	152
515	162	152
516	162	151
517	162	151
518	163	151
519	163	150
520	163	150
521	163	149
522	163	149
523	164	149
524	164	149
525	164	148
526	165	148
527	165	147
528	165	147
529	165	147
530	166	146
531	166	146
532	166	145
533	166	145
534	166	145
535	167	144
536	167	144
537	167	143
538	167	143
539	167	143
540	168	142
541	168	142
542	168	141
543	168	141
544	168	140
545	169	140
546	169	140
547	169	139
548	169	139
549	169	138
550	170	138
551	170	138
552	170	137
553	170	137
554	170	136
555	170	136
556	171	136
557	171	135
558	171	135
559	171	134
560	171	134
561	172	134
562	172	133
563	172	133
564	172	132
565	172	132
566	173	132
567	173	131
568	173	131
569	173	131
570	173	130
571	174	130
572	174	129
573	174	129
574	174	129
575	174	128
576	175	128
577	175	127
578	175	127
579	175	127
580	175	126
581	176	126
582	176	126
583	176	125
584	176	125
585	176	124
586	176	124
587	177	124
588	177	123
589	177	123
590	177	123
591	177	122
592	178	122
593	178	121
594	178	121
595	178	121
596	178	120
597	179	120
598	179	120
599	179	119
600	179	119
601	180	119
602	180	118
603	180	118
604	180	117
605	180	117
606	181	117
607	181	116
608	181	116
609	181	116
610	181	115
611	182	115
612	182	115
613	182	114
614	182	114
615	182	114
616	183	113
617	183	113
618	183	112
619	183	112
620	183	112
621	184	111
622	184	111
623	184	111
624	184	110
625	184	110
626	185	110
627	185	109
628	185	109
629	185	109
630	185	108
631	186	108
632	186	107
633	186	107
634	186	107
635	186	106
636	187	106
637	187	106
638	187	105
639	187	105
640	187	105
641	187	104
642	188	104
643	188	104
644	188	103
645	188	103
646	188	103
647	189	102
648	189	102
649	189	102
650	189	101
651	189	101
652	190	100
653	190	100
654	190	100
655	190	99
656	190	99
657	191	99
658	191	98
659	191	98
660	191	98
661	191	97
662	192	97
663	192	97
664	192	96
665	192	96
666	192	96
667	192	95
668	193	95
669	193	95
670	193	94
671	193	94
672	193	94
673	194	93
674	194	93
675	194	93
676	194	92
677	194	92
678	195	92
679	195	91
680	195	91
681	195	91
682	195	90
683	196	90
684	196	90
685	196	89
686	196	89
687	196	89
688	197	88
689	197	88
690	197	88
691	197	87
692	197	87
693	198	87
694	198	87
695	198	86
696	198	86
697	198	86
698	198	85
699	199	85
700	199	85
701	199	84
702	199	84
703	199	84
704	200	83
705	200	83
706	200	83
707	200	82
708	200	82
709	201	82
710	201	81
711	201	81
712	201	81
713	201	80
714	202	80
715	202	80
716	202	79
717	202	79
718	202	79
719	203	78
720	203	78
721	203	78
722	203	77
723	203	77
724	203	77
725	204	77
726	204	76
727	204	76
728	204	76
729	204	75
730	205	75
731	205	75
732	205	74
733	205	74
734	205	74
735	206	73
736	206	73
737	206	73
738	206	72
739	206	72
740	206	72
741	207	72
742	207	71
743	207	71
744	207	71
745	207	70
746	208	70
747	208	70
748	208	69
749	208	69
750	208	69
751	209	68
752	209	68
753	209	68
754	209	68
755	209	67
756	209	67
757	210	67
758	210	66
759	210	66
760	210	66
761	210	65
762	211	65
763	211	65
764	211	64
765	211	64
766	211	64
767	212	64
768	212	63
769	212	63
770	212	63
771	212	62
772	213	62
773	213	62
774	213	61
775	213	61
776	213	61
777	213	61
778	214	60
779	214	60
780	214	60
781	214	59
782	214	59
783	215	59
784	215	58
785	215	58
786	215	58
787	215	58
788	216	57
789	216	57
790	216	57
791	216	56
792	216	56
793	217	56
794	217	56
795	217	55
796	217	55
797	217	55
798	218	54
799	218	54
800	218	54
801	218	54
802	219	53
803	219	53
804	219	53
805	219	52
806	219	52
807	220	52
808	220	52
809	220	51
810	220	51
811	220	51
812	221	50
813	221	50
814	221	50
815	221	49
816	221	49
817	222	49
818	222	49
819	222	48
820	222	48
821	222	48
822	223	48
823	223	47
824	223	47
825	223	47
826	224	46
827	224	46
828	224	46
829	224	46
830	224	45
831	225	45
832	225	45
833	225	44
834	225	44
835	225	44
836	226	44
837	226	43
838	226	43
839	226	43
840	226	42
841	227	42
842	227	42
843	227	42
844	227	41
845	228	41
846	228	41
847	228	40
848	228	40
849	228	40
850	229	40
851	229	39
852	229	39
853	229	39
854	229	39
855	230	38
856	230	38
857	230	38
858	230	37
859	231	37
860	231	37
861	231	37
862	231	36
863	231	36
864	231	36
865	232	35
866	232	35
867	232	35
868	232	35
869	232	34
870	233	34
871	233	34
872	233	33
873	233	33
874	233	33
875	234	33
876	234	32
877	234	32
878	234	32
879	234	32
880	235	31
881	235	31
882	235	31
883	235	30
884	235	30
885	235	30
886	236	30
887	236	29
888	236	29
889	236	29
890	236	28
891	237	28
892	237	28
893	237	28
894	237	27
895	237	27
896	238	27
897	238	27
898	238	26
899	238	26
900	239	26
901	239	25
902	239	25
903	239	25
904	239	25
905	240	24
906	240	24
907	240	24
908	240	24
909	240	23
910	241	23
911	241	23
912	241	23
913	241	22
914	241	22
915	242	22
916	242	21
917	242	21
918	242	21
919	242	21
920	243	20
921	243	20
922	243	20
923	243	20
924	244	19
925	244	19
926	244	19
927	244	18
928	244	18
929	245	18
930	245	18
931	245	17
932	245	17
933	245	17
934	246	17
935	246	16
936	246	16
937	246	16
938	246	16
939	247	15
940	247	15
941	247	15
942	247	14
943	247	14
944	248	14
945	248	14
946	248	13
947	248	13
948	248	13
949	249	13
950	249	12
951	249	12
952	249	12
953	249	12
954	250	11
955	250	11
956	250	11
957	250	10
958	250	10
959	251	10
960	251	10
961	251	9
962	251	9
963	251	9
964	252	9
965	252	8
966	252	8
967	252	8
968	252	8
969	252	7
970	253	7
971	253	7
972	253	7
973	253	6
974	253	6
975	254	6
976	254	5
977	254	5
978	255	5
979	255	5
980	255	4
981	255	4
982	255	4
983	256	4
984	256	3
985	256	3
986	256	3
987	257	3
988	257	2
989	257	2
990	257	2
991	257	2
992	258	1
993	258	1
994	258	1
995	258	1
996	258	0
997	259	0
998	259	0
999	259	0
